country,index,n,minutes,seconds,index_as_time
Australia,10.07312116767682,171,10,4,10:04
Italy,11.872049487221231,15,11,52,11:52
New Zealand,12.747934396943155,35,12,44,12:44
Switzerland,14.396345116836434,18,14,23,14:23
Puerto Rico,14.865211810012838,1,14,51,14:51
Netherlands,14.868072701311842,73,14,52,14:52
Slovenia,14.958030218242868,4,14,57,14:57
Germany,14.980275386802981,167,14,58,14:58
Norway,15.486766585969592,22,15,29,15:29
Belgium,15.771615771615776,19,15,46,15:46
Ireland,15.959134615384624,45,15,57,15:57
Canada,16.1929970166663,130,16,11,16:11
Finland,16.442455242966755,16,16,26,16:26
Kuwait,17.420965058236273,1,17,25,17:25
UK,17.494985451105048,595,17,29,17:29
USA,17.901365763206208,600,17,54,17:54
Sweden,18.223440270836694,20,18,13,18:13
Malta,18.744525547445257,1,18,44,18:44
Israel,18.821644274620972,14,18,49,18:49
Spain,18.955048859934845,30,18,57,18:57
Austria,19.04337084820203,13,19,2,19:02
Denmark,19.399933620975784,36,19,23,19:23
Croatia,20.888888888888886,9,20,53,20:53
France,21.25514174541412,31,21,15,21:15
Iceland,21.96132596685083,2,21,57,21:57
South Korea,23.818334735071485,4,23,49,23:49
Singapore,25.178409159750412,20,25,10,25:10
Slovakia,25.26856609061186,10,25,16,25:16
Estonia,27.436582109479303,2,27,26,27:26
Czechia,28.37176303653775,67,28,22,28:22
Poland,29.42267172355668,100,29,25,29:25
Japan,29.68934911242604,9,29,41,29:41
Portugal,29.960085151676424,13,29,57,29:57
Hungary,30.349490326607047,17,30,20,30:20
North Macedonia,30.642201834862387,1,30,38,30:38
Barbados,31.463414634146343,1,31,27,31:27
Cyprus,31.85046728971962,3,31,51,31:51
Ecuador,33.333333333333336,2,33,20,33:20
Latvia,34.10396716826265,6,34,6,34:06
Lithuania,34.64968152866243,3,34,38,34:38
Greece,35.549295774647895,23,35,32,35:32
South Africa,35.95029912563276,8,35,57,35:57
Moldova,36.62337662337662,1,36,37,36:37
Bulgaria,36.91428571428571,6,36,54,36:54
UAE,39.82423681776133,3,39,49,39:49
China,40.27181922384148,9,40,16,40:16
Romania,40.723767383059425,17,40,43,40:43
Serbia,41.758652946679135,7,41,45,41:45
Georgia,45,1,45,0,45:00
Ukraine,45.995085995085994,4,45,59,45:59
Thailand,48.143712574850305,1,48,8,48:08
Guatemala,48.82681564245811,2,48,49,48:49
Chile,48.89580093312597,10,48,53,48:53
Kazakstan,50.78313253012049,1,50,46,50:46
Armenia,51.98697068403909,1,51,59,51:59
Russia,52.25498007968128,14,52,15,52:15
Colombia,52.58649093904448,6,52,35,52:35
Taiwan,54.619883040935676,1,54,37,54:37
Brazil,56.88733290897518,14,56,53,56:53
Costa Rica,57.48743718592965,3,57,29,57:29
Lebanon,59.13669064748203,1,59,8,59:08
Argentina,60.26376146788989,22,60,15,60:15
Mauritius,62.53968253968254,1,62,32,62:32
Malaysia,67.07368421052632,18,67,4,67:04
Belarus,68.63813229571984,2,68,38,68:38
Maldives,70.79584775086505,1,70,47,70:47
Turkey,73.01175516822053,10,73,0,73:00
Iraq,73.40523882896765,3,73,24,73:24
Mexico,74.57698170731712,24,74,34,74:34
Jordan,77.87234042553193,1,77,52,77:52
Indonesia,78.03191489361701,8,78,1,78:01
Bolivia,79.45945945945947,2,79,27,79:27
Jamaica,83.89830508474577,1,83,53,83:53
Algeria,86.87499999999999,1,86,52,86:52
Saudi Arabia,91.37349397590361,1,91,22,91:22
Uruguay,93.64864864864866,1,93,38,93:38
El Salvador,96.32432432432432,1,96,19,96:19
Egypt,103.78378378378379,1,103,47,103:47
Philippines,110.42424242424244,11,110,25,110:25
Oman,118.98876404494382,3,118,59,118:59
Nicaragua,124.51612903225806,1,124,30,124:30
Sri Lanka,137.28813559322035,1,137,17,137:17
Vietnam,162.41379310344826,6,162,24,162:24
India,171.9893190921228,11,171,59,171:59
Djibouti,172.75862068965517,1,172,45,172:45
Qatar,187.73006134969327,1,187,43,187:43
Pakistan,273.6585365853658,2,273,39,273:39
